"caster_sugar","caster sugar","2573"
"butter","butter","1786"
"double_cream","double cream","1566"
"icing_sugar","icing sugar","1092"
"egg","egg","1039"
"milk","milk","784"
"vanilla_pod","vanilla pod","687"
"orange","orange","651"
"plain_flour","plain flour","575"
"egg_yolk","egg yolk","533"
"lemon","lemon","522"
"sugar","sugar","510"
"dark_chocolate","dark chocolate","466"
"honey","honey","430"
"brown_sugar","brown sugar","383"
"cinnamon","cinnamon","378"
"mint","mint","366"
"egg_white","egg white","351"
"self-raising_flour","self-raising flour","283"
"cocoa","cocoa powder","279"
"salt","salt","246"
"yoghurt","yoghurt","224"
"apple","apple","195"
"mascarpone_cheese","mascarpone","177"
"gelatine","gelatine","176"
"chocolate","chocolate","173"
"ice_cream","ice cream","165"
"banana","banana","164"
"cornflour","cornflour","162"
"vegetable_oil","vegetable oil","151"
"vanilla_extract","vanilla extract","149"
"baking_powder","baking powder","148"
"mango","mango","142"
"rhubarb","rhubarb","140"
"raspberry","raspberry","134"
"lemon_juice","lemon juice","132"
"lime","lime","121"
"cream","cream","120"
"golden_syrup","golden syrup","120"
"pineapple","pineapple","119"
"strawberry","strawberry","117"
"brandy","brandy","114"
"pistachio","pistachio","113"
"puff_pastry","puff pastry","109"
"nutmeg","nutmeg","108"
"flour","flour","107"
"rum","rum","106"
"pear","pear","106"
"whipping_cream","whipping cream","103"
"white_chocolate","white chocolate","101"
"hazelnut","hazelnut","101"
"ginger","ginger","100"
"plum","plum","99"
"ground_almonds","ground almonds","98"
"flaked_almonds","flaked almonds","98"
"glucose","glucose","95"
"demerara_sugar","demerara sugar","94"
"ginger_ground","ground ginger","91"
"filo_pastry","filo pastry","90"
"white_wine","white wine","88"
"cardamom","cardamom","85"
"sultanas","sultanas","85"
"passion_fruit","passion fruit","84"
"stem_ginger","stem ginger","84"
"red_wine","red wine","84"
"cream_cheese","cream cheese","83"
"zest","zest","83"
"pecan_nut","pecan","83"
"almond","almond","81"
"vanilla_essence","vanilla essence","80"
"custard","custard","78"
"white_bread","white bread","72"
"raisins","raisins","71"
"clotted_cream","clotted cream","70"
"creme_fraiche","crème fraîche","69"
"fig","fig","66"
